#name,strength,airport,city,country,description,type,latitude,longitude
University of Oxford,,LGW,London,GB,,University,,
Christie's Auction House,,LHR,London,GB,Leading auction house specializing,Elite Destination,,
Sotheby's Auction House,,LHR,London,GB,Premier auction house specializing,Elite Destination,,
Palace of Westminster,,LHR,London,GB,,Elite Destination,,
Belgravia,,LHR,London,GB,,Elite residential,,
Four Seasons HAMPSHIRE,,LHR,London,GB,Four Seasons,Luxury Hotel,,
Four Seasons LONDON AT PARK LANE,,LHR,London,GB,Four Seasons,Luxury Hotel,,
JW Marriott Grosvenor House London,,LHR,London,GB,JW Marriott,Luxury Hotel,,
Mandarin Oriental Mandarin Oriental,,LHR,London,GB,Mandarin Oriental,Luxury Hotel,,
The Lanesborough,,LHR,London,GB,Oetker Collection Hotels,Luxury Hotel,,
Brown's Hotel,,LHR,London,GB,Rocco Forte Hotel,Luxury Hotel,51.5107,-0.1467
The Peninsula London,,LHR,London,GB,The Peninsula,Luxury Hotel,,
Great Scotland Yard Hotel,,LHR,London,GB,World of Hyatt,Luxury Hotel,,
Waldorf Astoria London Admiralty Arch,,LHR,London,GB,,Luxury Hotel,,
Conrad London St. James,,LHR,London,GB,,Luxury Hotel,,
Belmond Cadogan,,LHR,London,GB,,Luxury Hotel,,
Belmond Le Manoir aux Quat'Saisons,,LHR,London,GB,,Luxury Hotel,,
Andaz London Liverpool Street,,LHR,London,GB,,Luxury Hotel,,
Raffles London at The OWO,,LHR,London,GB,,Luxury Hotel,,
The Savoy,,LHR,London,,Fairmount,Luxury Hotel,,
St. James' Court A Taj Hotel,,LHR,London,GB,,Luxury Hotel,,
Eton College,,LHR,Windsor,GB,,School,,
Harrow School,,LHR,London,GB,,School,,
Imperial College London,,LHR,London,GB,,University,,
Shangri-La Hotel At The Shard,,LHR,London,GB,,Luxury Hotel,51.5074,-0.1278
Domaine des Etangs,,LIG,,FR,Auberge Resorts,Luxury Hotel,,
Paradise Cove,,LIH,Lihue,US,,Elite residential,,
San Isidro,,LIM,,PE,Affluent district with historic mansions,Elite residential,,
JW Marriott Hotel Lima,,LIM,,PE,JW Marriott,Luxury Hotel,,
Hotel Paracas,,LIM,,PE,Luxury Collection Hotels,Luxury Hotel,,
Miraflores Park,,LIM,,PE,,Luxury Hotel,,
Belmond Miraflores Park,,LIM,Lima,PE,,Luxury Hotel,,
Excelsior Hotel Gallia,,LIN,Milan,IT,Luxury Collection Hotels,Luxury Hotel,,
JW Marriott Guanacaste Resort & Spa,,LIR,,CR,JW Marriott,Luxury Hotel,,
Waldorf Astoria Costa Rica Cacique,,LIR,Liberia,CR,,Luxury Hotel,,
Andaz Costa Rica Resort at Peninsula Papagayo,,LIR,Liberia,CR,,Luxury Hotel,,
Andaz Costa Rica at Peninsula Papagayo,,LIR,,CR,,Luxury Hotel,,
Comporta,,LIS,,PT,,Elite residential,,
Príncipe Real,,LIS,,PT,,Elite residential,,
Four Seasons LISBON,,LIS,,PT,Four Seasons,Luxury Hotel,,
Penha Longa Resort,,LIS,,PT,Ritz-Carlton,Luxury Hotel,,
Olissippo Lapa Palace,,LIS,,PT,,Luxury Hotel,,
Bairro Alto Hotel,,LIS,,PT,,Luxury Hotel,,
Amandayan,,LJG,,CN,Aman resorts,Luxury Hotel,,
Rosewood Lijiang,,LJG,,CN,Rosewood Hotel,Luxury Hotel,,
Mauna Lani,,LNY,,US,Auberge Resorts,Luxury Hotel,,
Four Seasons HAWAII,,LNY,,US,Four Seasons,Luxury Hotel,,
Rosewood Moyo,,LOP,,ID,Rosewood Hotel,Luxury Hotel,,
The Grand National,,LPL,,UK,A world-famous steeplechase horse race attracting large fashionable crowds and high-stakes betting.,Elite Destination,,
Amantaka,,LPQ,,LA,Aman resorts,Luxury Hotel,,
Rosewood Luang Prabang,,LPQ,,LA,Rosewood Hotel,Luxury Hotel,,
La Résidence Phou Vao,,LPQ,,LA,,Luxury Hotel,,
Belmond La Résidence Phou Vao,,LPQ,Luang Prabang,LA,,Luxury Hotel,,
British GP,,LTN,,,Formula One race held at the Silverstone Circuit,Elite Destination,52.075,-1.0167
La Réserve Ramatuelle,,LTT,Saint-Tropez,,,Luxury Hotel,,
Mount Everest Base Camp,,LUA,,NP,,Adventure Tourism,,
St. Moritz,,LUG,,CH,,Elite residential,,
St. Moritz,,LUG,,CH,,Ski Resort,,
Chelsea,,LW0,,GB,,Elite Residential,,
Kensington,,LW0,,GB,,Elite Residential,,
Wimbeldon,,LW0,,GB,,Elite Residential,,
Lhasa,,LXA,,CN,The capital city of Tibet,Adventure Tourism,,
Shangri-La Hotel Lhasa,,LXA,Lhasa,CN,,Luxury Hotel,29.6603,91.1148
Shangri-La Lhasa,,LXA,Lhasa,CN,,Luxury Hotel,29.6603,91.1149
The St. Regis Lhasa Resort,,LXA,,CN,St. Regis,Luxury Hotel,,
Svalbard,,LYR,,NO,Pristine Arctic wilderness with exclusive expedition lodges and unparalleled polar bear viewing opportunities.,Adventure Tourism,,
Polar bears,,LYR,,NO,,Adventure Tourism,,
Four Seasons MEGÈVE (LES CHALETS..),,LYS,,FR,Four Seasons,Luxury Hotel,,
L'Apogée Courchevel,,LYS,,FR,Oetker Collection Hotels,Luxury Hotel,,
Cour des Loges Lyon,,LYS,Lyon,fr,Radisson Collection Hotel,Luxury Hotel,45.763504,4.827283
Rosewood Courchevel,,LYS,,FR,Rosewood Hotel,Luxury Hotel,,
Six Senses Six Senses FRANCE,,LYS,,FR,Six Senses Resorts,Luxury Hotel,,
ITC Grand Chola,,MAA,,IN,Luxury Collection Hotels,Luxury Hotel,,
Park Hyatt Chennai,,MAA,Chennai,IN,,Luxury Hotel,,
La Latina,,MAD,Madrid,ES,,Elite residential,,
Salamanca,,MAD,Madrid,ES,,Elite residential,,
The Madrid EDITION,,MAD,Madrid,ES,EDITION,Luxury Hotel,,
Four Seasons MADRID,,MAD,Madrid,ES,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Madrid,,MAD,Madrid,ES,JW Marriott,Luxury Hotel,,
Santo Mauro,,MAD,Madrid,ES,Luxury Collection Hotels,Luxury Hotel,,
Mandarin Oriental Madrid,,MAD,Madrid,ES,Mandarin Oriental,Luxury Hotel,,
Rosewood Madrid,,MAD,Madrid,ES,Rosewood Hotel,Luxury Hotel,,
Abadía Retuerta LeDomaine,,MAD,Madrid,ES,,Luxury Hotel,,
Cristine Bedfor,,MAH,Menorca,ES,,Luxury Hotel,,
The Edwardian Manchester,,MAN,Manchester,gb,Radisson Collection Hotel,Luxury Hotel,53.4779358,2.246978
Amazon Rainforest,,MAO,,BR,,Adventure Tourism,,
Montego Bay,,MBJ,,JM,,Elite residential,,
Sandy Lane,,MBJ,Montego Bay,JM,,Elite residential,,
Tryall Club,,MBJ,Montego Bay,JM,,Elite residential,,
Hyatt Zilara Rose Hall,,MBJ,,,,Luxury Hotel,,
Avenue Princesse Grace Monte Carlo,,MCM,Nice,FR,,Elite Residential,,
Fairmont Monte-Carlo,,MCM,,FR,,Luxury Hotel,,
Hôtel Métropole Monte-Carlo,,MCM,,FR,,Luxury Hotel,,
Hôtel de Paris Monte-Carlo,,MCM,,FR,,Luxury Hotel,,
Monaco GP,,MCM,,FR,Formula One race held at the Circuit de Monaco,Elite Destination,43.73472,7.42056
Avenue Princesse Grace Monte Carlo,,MCM,Nice,FR,,Elite residential,,
Monaco,2,MCM,Nice,FR,,Elite residential,,
Fairmont Monte Carlo,,MCM,,MC,,Luxury Hotel,43.737,7.425
Four Seasons ORLANDO,,MCO,,US,Four Seasons,Luxury Hotel,,
Grande Lakes,,MCO,,US,JW Marriott,Luxury Hotel,,
JW Marriott Orlando Bonnet Creek Resort & Spa,,MCO,,US,JW Marriott,Luxury Hotel,,
The Ritz-Carlton Orlando Grande Lakes,,MCO,,US,Ritz-Carlton,Luxury Hotel,,
Waldorf Astoria Orlando,,MCO,Orlando,US,,Luxury Hotel,,
Conrad Orlando,,MCO,Orlando,US,,Luxury Hotel,,
Al Shatti,,MCT,Muscat,OM,,Elite residential,,
Muscat,,MCT,,OM,,Elite residential,,
JW Marriott Hotel Muscat,,MCT,,OM,JW Marriott,Luxury Hotel,,
Hormuz Grand Muscat,,MCT,Muscat,om,Radisson Collection Hotel,Luxury Hotel,23.5771656,58.2894859
Al Bustan Palace,,MCT,,OM,Ritz-Carlton,Luxury Hotel,,
Six Senses OMAN,,MCT,,OM,Six Senses Resorts,Luxury Hotel,,
Alila Jabal Akhdar,,MCT,Muscat,,,Luxury Hotel,,
Shangri-La Barr Al Jissah Resort & Spa,,MCT,Muscat,OM,,Luxury Hotel,23.6143,58.5453
Shangri-La Al Husn Resort & Spa,,MCT,Muscat,OM,,Luxury Hotel,23.6143,58.5453
23 Hotel Medellin,,MDE,,CO,,Luxury Hotel,,
Magnificent Mile,,MDW,,US,,Elite Destination,,
Obama Presidential Center,,MDW,,US,,Elite Destination,,
Burr Ridge Club,,MDW,,US,,Elite residential,,
Park Hyatt Chicago,,MDW,Chicago,US,,Luxury Hotel,,
Waldorf Astoria Chicago,,MDW,Chicago,US,,Luxury Hotel,,
University of Chicago,,MDW,Chicago,US,,University,,
Park Hyatt Mendoza,,MDZ,Mendoza,AR,,Luxury Hotel,,
El Poblado,,MED,Medellin,CO,,Elite residential,,
Laureles,,MED,Medellín,CO,,Elite residential,,
Madina,,MED,,SA,The Oberoi,Luxury Hotel,,
Australian GP,,MEL,,,Formula One race held at the Albert Park Circuit,Elite Destination,-37.84972,144.96833
Camberwell,,MEL,,AU,,Elite residential,,
South Yarra,,MEL,Melbourne,AU,,Elite residential,,
Toorak,,MEL,Melbourne,AU,,Elite residential,,
The Ritz-Carlton Melbourne,,MEL,,AU,Ritz-Carlton,Luxury Hotel,,
Tolarno Hotel,,MEL,Victoria,AU,,Luxury Hotel,,
Park Hyatt Melbourne,,MEL,Melbourne,AU,,Luxury Hotel,,
Grand Hyatt,,MEL,,,,Luxury Hotel,,
University of Melbourne,,MEL,,AU,,University,,
Shangri-La Hotel,,MEL,,AU,,Luxury Hotel,,
Mexican GP,,MEX,,,Formula One race held at the Autódromo Hermanos Rodríguez,Elite Destination,19.40611,-99.0925
Bosques de las Lomas,,MEX,Mexico City,MX,Exclusive gated community featuring lavish mansions,Elite residential,,
La Condesa,,MEX,Mexico City,MX,,Elite residential,,
Lomas de Chapultepec,,MEX,Mexico City,MX,,Elite residential,,
Paseo de la Reforma,,MEX,Mexico City,MX,,Elite residential,,
Polanco,,MEX,Mexico City,MX,,Elite residential,,
Roma Norte,,MEX,Mexico City,MX,,Elite residential,,
Four Seasons MEXICO CITY,,MEX,Mexico City,MX,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Mexico City Polanco,,MEX,Mexico City,MX,JW Marriott,Luxury Hotel,,
JW Marriott Hotel Mexico City Santa Fe,,MEX,Mexico City,MX,JW Marriott,Luxury Hotel,,
The Ritz-Carlton Mexico City,,MEX,Mexico City,MX,Ritz-Carlton,Luxury Hotel,,
The St. Regis Mexico City,,MEX,Mexico City,MX,St. Regis,Luxury Hotel,,
Macau,,MFM,Macau,MO,,Elite residential,,
Four Seasons MACAO,,MFM,Macau,MO,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Macau,,MFM,Macau,MO,JW Marriott,Luxury Hotel,,
Mandarin Oriental Macau,,MFM,Macau,MO,Mandarin Oriental,Luxury Hotel,,
The Ritz-Carlton Macau,,MFM,Macau,MO,Ritz-Carlton,Luxury Hotel,,
The St. Regis Macao,,MFM,Macau,MO,St. Regis,Luxury Hotel,,
Conrad Macao,,MFM,Macau,MO,,Luxury Hotel,,
Andaz Macau,,MFM,Macau,MO,,Luxury Hotel,,
Banyan Tree Macau,,MFM,Macau,MO,,Luxury Hotel,,
Raffles at Galaxy Macau,,MFM,Macau,MO,,Luxury Hotel,,
Marsh Harbour,,MHH,,BS,,Elite residential,,
Miami GP,,MIA,,,Formula One race held at the Miami International Autodrome,Elite Destination,25.95806,-80.23889
The Art Basel Fair,,MIA,,US,Leading art fair held showcasing contemporary and modern artworks,Elite Destination,,
Coral Gables,,MIA,Miami,US,Planned community with Mediterranean-style homes,Elite residential,,
Fisher Island,,MIA,Miami,US,,Elite residential,,
Miami Beach,,MIA,Miami,US,,Elite residential,,
Bulgari Hotel,,MIA,Miami,US,Bulgari Hotel,Luxury Hotel,,
Miami Beach EDITION,,MIA,Miami,US,EDITION,Luxury Hotel,,
Four Seasons MIAMI,,MIA,Miami,US,Four Seasons,Luxury Hotel,,
Four Seasons MIAMI BEACHES,,MIA,Miami,US,Four Seasons,Luxury Hotel,,
JW Marriott Miami,,MIA,Miami,US,JW Marriott,Luxury Hotel,,
JW Marriott Miami Turnberry Resort & Spa,,MIA,Miami,US,JW Marriott,Luxury Hotel,,
Mandarin Oriental Miami,,MIA,Miami,US,Mandarin Oriental,Luxury Hotel,,
The Setai Miami Beach,,MIA,,US,MICHELIN Two Key Hotel,Luxury Hotel,,
The Ritz-Carlton Key Biscayne,,MIA,Miami,US,Ritz-Carlton,Luxury Hotel,,
The Ritz-Carlton South Beach,,MIA,Miami,US,Ritz-Carlton,Luxury Hotel,,
Rosewood Miami Beach,,MIA,Miami,US,Rosewood Hotel,Luxury Hotel,,
The St. Regis Bal Harbour Resort,,MIA,Miami,US,St. Regis,Luxury Hotel,,
Casa Cipriani,,MIA,,US,,Luxury Hotel,,
Waldorf Astoria Miami,,MIA,Miami,US,,Luxury Hotel,,
Chablé Yucatan,,MID,,,,Luxury Hotel,,
Great Barrier Reef,,MKY,,AU,Explore the world's largest coral reef system with private yacht charters and luxurious island resorts.,Adventure Tourism,,
The Phoenicia Malta,,MLA,,,,Luxury Hotel,,
Space Tourism,,MLB,,US,,Adventure Tourism,,
Maldives,,MLE,Male,MV,,Elite residential,,
Shangri-La’s Villingili Resort & Spa,,MLE,Villingili Island,MV,,Luxury Hotel,3.3841,73.2207
COMO Cocoa Island,,MLE,Male,MV,COMO,Luxury Hotel,,
COMO Maalifushi,,MLE,Male,MV,COMO,Luxury Hotel,,
Four Seasons MALDIVES AT KUDA HURAA,,MLE,Male,MV,Four Seasons,Luxury Hotel,,
Four Seasons MALDIVES AT LANDAA GIRAAVARU,,MLE,Male,MV,Four Seasons,Luxury Hotel,,
Four Seasons MALDIVES PRIVATE ISLAND VOAVAH AT BAA ATOLL,,MLE,Male,MV,Four Seasons,Luxury Hotel,,
JW Marriott Maldives Resort & Spa,,MLE,Male,MV,JW Marriott,Luxury Hotel,,
One&Only Male,,MLE,Male,MZ,One&Only,Luxury Hotel,,
The Ritz-Carlton Maldives Fari Islands,,MLE,Male,MV,Ritz-Carlton,Luxury Hotel,,
Six Senses MALDIVES,,MLE,Male,MV,Six Senses Resorts,Luxury Hotel,,
The St. Regis Maldives Vommuli Resort,,MLE,Male,MV,St. Regis,Luxury Hotel,,
Waldorf Astoria Maldives Ithaafushi,,MLE,Male,MV,,Luxury Hotel,,
Conrad Maldives Rangali Island,,MLE,Malé,MV,,Luxury Hotel,,
Park Hyatt Maldives Hadahaa,,MLE,Malé,MV,,Luxury Hotel,,
Raffles Maldives Meradhoo,,MLE,Malé,MV,,Luxury Hotel,,
Österlen,,MMX,,SE,,Elite residential,,
Shangri-La Hotel Manila,,MNL,Manila,PH,,Luxury Hotel,14.5995,120.9842
Shangri-La The Fort,,MNL,Manila,PH,,Luxury Hotel,14.5995,120.9842
The Peninsula Manila,,MNL,,PH,The Peninsula,Luxury Hotel,,
The Peninsula Manila,,MNL,,PH,,Luxury Hotel,,
Conrad Manila,,MNL,Manila,PH,,Luxury Hotel,,
Raffles Makati,,MNL,Manila,PH,,Luxury Hotel,,
Shangri-La’s Boracay Resort and Spa,,MPH,Boracay,PH,,Luxury Hotel,11.9714,121.9605
Kruger National Park,,MQP,,ZA,,Adventure Tourism,,
Mustique,,MQS,,VC,A small private island with villas attracting celebrities and royalty offering privacy and seclusion.,Elite residential,,
Mara Serena Lodge,,MRE,,KE,,Adventure Tourism,,
Riveria,,MRS,,FR,,Elite residential,,
Château de la Gaude,,MRS,Aix-en-Provence,FR,Two Michelin keys,Luxury Hotel,,
Mauritius,,MRU,,MU,,Elite residential,,
Shangri-La’s Le Touessrok Resort & Spa,,MRU,Trou d'Eau Douce,MU,,Luxury Hotel,-20.3833,57.6833
Four Seasons MAURITIUS,,MRU,,MU,Four Seasons,Luxury Hotel,,
JW Marriott Mauritius Resort,,MRU,,MU,JW Marriott,Luxury Hotel,,
One&Only Mauritius,,MRU,,MU,One&Only,Luxury Hotel,,
Ventana Big Sur,,MRY,,US,MICHELIN Two Key Hotel,Luxury Hotel,,
Alila Ventana Big Sur,,MRY,Monterey,US,,Luxury Hotel,,
Carmel Valley Ranch,,MRY,Monterey,US,,Luxury Hotel,,
University of Wisconsin-Madison,,MSN,,US,,University,,
Four Seasons MINNEAPOLIS,,MSP,,US,Four Seasons,Luxury Hotel,,
Four Seasons NEW ORLEANS,,MSY,,US,Four Seasons,Luxury Hotel,,
The Eliza Jane,,MSY,,US,Hyatt Unbound,Luxury Hotel,,
JW Marriott New Orleans,,MSY,,US,JW Marriott,Luxury Hotel,,
The Ritz-Carlton New Orleans,,MSY,,US,Ritz-Carlton,Luxury Hotel,,
The Roosevelt New Orleans A Waldorf Astoria Hotel,,MSY,New Orleans,US,,Luxury Hotel,,
Sleeping Indian Lodge,,MTJ,,US,Auberge Resorts,Luxury Hotel,,
JW Marriott Hotel Monterrey Valle,,MTY,,MX,JW Marriott,Luxury Hotel,,
Eagle Island Lodge,,MUB,,BW,,Luxury Hotel,,
Savute Elephant Lodge,,MUB,,BW,,Luxury Hotel,,
Belmond Eagle Island Lodge,,MUB,Maun,BW,,Luxury Hotel,,
Bavarian Estates,,MUC,Munich,DE,Castles,Elite residential,,
Schwabing,,MUC,Munich,DE,,Elite residential,,
Roomers Munich Autograph Collection,,MUC,,,,Luxury Hotel,,
Koenigshof,,MUC,Munich,DE,Luxury Collection Hotels,Luxury Hotel,,
Mandarin Oriental Munich,,MUC,Munich,DE,Mandarin Oriental,Luxury Hotel,,
The Charles Hotel,,MUC,Munich,DE,Rocco Forte Hotel,Luxury Hotel,48.1372,11.5755
Rosewood Munich,,MUC,Munich,DE,Rosewood Hotel,Luxury Hotel,,
Andaz Munich Schwabinger Tor,,MUC,Munich,DE,,Luxury Hotel,,
Bayerischer Hof,,MUC,,,,Luxury Hotel,,
Rosewood Carrasco,,MVD,,UY,Seaside suburb known for its elegant villas,Elite residential,,
Martha's Vineyard,,MVY,,US,,Elite residential,,
Martha's Vineyard,,MVY,,US,,Elite residential,,
Italian GP,,MXP,,,Formula One race held at the Autodromo Nazionale Monza,Elite Destination,45.62056,9.28944
Fashion Week,,MXP,,IT,,Elite Destination,,
Elite rural properties in sought-after locations,,MXP,Milan,IT,,Elite residential,,
Sant'Ambrogio,,MXP,Milan,IT,,Elite residential,,
Grand Hotel Tremezzo Lake Como,,MXP,,IT,,Luxury Hotel,,
Bulgari Hotel Milano,,MXP,Milan,IT,Bulgari Hotel,Luxury Hotel,,
Four Seasons MILAN,,MXP,Milan,IT,Four Seasons,Luxury Hotel,,
Mandarin Oriental Lake Como,,MXP,Milan,IT,Mandarin Oriental,Luxury Hotel,,
Mandarin Oriental Milan,,MXP,Milan,IT,Mandarin Oriental,Luxury Hotel,,
Santa Sofia Milan,,MXP,Milan,it,Radisson Collection Hotel,Luxury Hotel,45.45605,9.187621
The Carlton,,MXP,Milan,IT,Rocco Forte Hotel,Luxury Hotel,45.4642,9.19
Casa Cipriani,,MXP,,IT,,Luxury Hotel,,
Grand Hotel Tremezzo,,MXP,Milan,IT,,Luxury Hotel,,
Passalacqua,,MXP,Milan,IT,,Luxury Hotel,,
Park Hyatt Milan,,MXP,Milan,IT,,Luxury Hotel,,
Penghu Islands,,MZG,,TW,Exclusive island chain with secluded beaches,Elite residential,,
HOSHINOYA Karuizawa,,NAG,,JP,HOSHINOYA,Luxury Hotel,,
Baghvan A Taj Safari,,NAG,Nagpur,IN,,Luxury Hotel,21.0625,79.0833
Fiji,,NAN,,FJ,,Elite residential,,
Shangri-La Yanuca Island,,NAN,Yanuca Island,FJ,,Luxury Hotel,-18.2486,178.4419
Shangri-La’s Fijian Resort & Spa,,NAN,Yanuca Island,FJ,,Luxury Hotel,-18.2486,178.4419
COMO Laucala Island,,NAN,,FJ,COMO,Luxury Hotel,,
Six Senses Six Senses FIJI,,NAN,,FJ,Six Senses Resorts,Luxury Hotel,,
Nanuku Resort Fiji,,NAN,,FI,,Luxury Hotel,,
Hotel La Palma,,NAP,Capri,IT,Oetker Collection Hotels,Luxury Hotel,,
Palazzo Sirignano,,NAP,Naples,IT,Rocco Forte Hotel,Luxury Hotel,40.8518,14.2681
JK Place Capri,,NAP,Naples,IT,,Luxury Hotel,,
Il San Pietro di Positano,,NAP,Naples,IT,,Luxury Hotel,,
Belmond Hotel Caruso,,NAP,Naples,IT,,Luxury Hotel,,
Palazzo Avino,,NAP,Naples,IT,,Luxury Hotel,,
Monastero Santa Rosa Hotel & Spa,,NAP,Naples,IT,,Luxury Hotel,,
Capri Palace Jumeirah,,NAP,Capri,IT,Two Michelin keys,Luxury Hotel,,
Four Seasons BAHAMAS,,NAS,,BM,Four Seasons,Luxury Hotel,,
Montage Cay,,NAS,,BM,Montage,Luxury Hotel,,
Rosewood Nassau,,NAS,,BM,Rosewood Hotel,Luxury Hotel,,
Grand Hyatt Baha Mar,,NAS,,BM,,Luxury Hotel,,
JW Marriott Hotel Nairobi,,NBO,,KE,JW Marriott,Luxury Hotel,,
JW Marriott Masai Mara Lodge,,NBO,,KE,JW Marriott,Luxury Hotel,,
Hemingways Nairobi,,NBO,,KE,,Luxury Hotel,,
Fairmont The Norfolk Hotel,,NBO,,KE,,Luxury Hotel,,
Park Hyatt Changbaishan,,NBS,,CN,,Luxury Hotel,,
Villa La Coste,,NCE,Antibes,FR,Three Michelin keys,Luxury Hotel,,
The Cannes Film Festival,,NCE,Nice,FR,Prestigious film festival in Cannes,Elite Destination,,
Château de la Chèvre d'Or,,NCE,Nice,FR,,Luxury Hotel,,
Cannes,,NCE,Nice,FR,,Elite residential,,
Nîmes,,NCE,Nice,FR,,Elite residential,,
Saint-Tropez,2,NCE,Nice,FR,,Elite residential,,
Grand Hôtel du Cap-Ferrat,,NCE,Nice,FR,Four Seasons,Luxury Hotel,,
JW Marriott Cannes,,NCE,Nice,FR,JW Marriott,Luxury Hotel,,
Hôtel du Couvent,,NCE,Nice,FR,Luxury Collection Hotels,Luxury Hotel,,
Château Saint-Martin & Spa,,NCE,Nice,FR,Oetker Collection Hotels,Luxury Hotel,,
Hotel du Cap-Eden-Roc,,NCE,Nice,FR,Oetker Collection Hotels,Luxury Hotel,,
Domaine de Fontenille Luberon,,NCE,,FR,,Luxury Hotel,,
Hôtel du Cap-Eden-Roc,,NCE,Nice,FR,,Luxury Hotel,,
Château Saint-Martin & Spa,,NCE,Nice,FR,,Luxury Hotel,,
Hôtel Martinez,,NCE,Nice,FR,,Luxury Hotel,,
Hyatt Regency Nice Palais de la Méditerranée,,NCE,Nice,FR,,Luxury Hotel,,
Le Domaine du Mas de Pierre,,NCE,,FR,,Luxury Hotel,,
Le Negresco,,NCE,Nice,FR,,Luxury Hotel,,
Hotel Negresco,,NCE,,MC,,Luxury Hotel,,
Four Seasons NEVIS,,NEV,,KN,Four Seasons,Luxury Hotel,,
Shangri-La Ningbo,,NGB,Ningbo,CN,,Luxury Hotel,29.8683,121.5442
Park Hyatt Ningbo Resort and Spa,,NGB,Ningbo,CN,,Luxury Hotel,,
Japanese GP,,NGO,,,Formula One race held at the Suzuka International Racing Course,Elite Destination,34.8417,136.5389
Amanemu,,NGO,,JP,Aman resorts,Luxury Hotel,,
Rosewood Shima,,NGO,,JP,Rosewood Hotel,Luxury Hotel,,
Hakuba,,NGO,,JP,,Ski Resort,,
Shangri-La Nanjing,,NKG,Nanjing,CN,,Luxury Hotel,32.0617,118.7778
Grand WuJi Hotel,,NKG,Jiangsu,CN,Hyatt Unbound,Luxury Hotel,,
Nanjing Radisson Collection Resort,,NKG,Nanjing,cn,Radisson Collection Hotel,Luxury Hotel,32.0804863,119.016556
The Ritz-Carlton Nanjing,,NKG,,CN,Ritz-Carlton,Luxury Hotel,,
Andaz Nanjing Hexi,,NKG,Nanjing,CN,,Luxury Hotel,,
The Ritz-Carlton Nikko,,NKM,,JP,Ritz-Carlton,Luxury Hotel,,
Las Alcobas,,NLU,Mexico City,MX,Luxury Collection Hotels,Luxury Hotel,,
Andaz Mexico City Condesa,,NLU,Mexico City,MX,,Luxury Hotel,,
Casa Polanco,,NLU,,,,Luxury Hotel,,
Shangri-La Nanning,,NNG,Nanning,CN,,Luxury Hotel,22.8167,108.3167
Na Lotus Hotel,,NNG,,CN,Luxury Collection Hotels,Luxury Hotel,,
Noumea,,NOU,,NC,,Elite residential,,
Rosewood Cape Kidnappers,,NPE,,NZ,Rosewood Hotel,Luxury Hotel,,
Astana,,NQZ,,KZ,,Elite residential,,
The Ritz-Carlton Astana,,NQZ,,KZ,Ritz-Carlton,Luxury Hotel,,
The St. Regis Astana,,NQZ,,KZ,St. Regis,Luxury Hotel,,
Ginza,,NRT,Tokyo,JP,,Elite residential,,
Aman Tokyo,,NRT,,JP,Aman resorts,Luxury Hotel,,
Bulgari Hotel Tokyo,,NRT,Tokyo,JP,Bulgari Hotel,Luxury Hotel,,
The Tokyo EDITION,,NRT,Tokyo,JP,EDITION,Luxury Hotel,,
Tokyo EDITION,,NRT,Tokyo,JP,EDITION,Luxury Hotel,,
Mandarin Oriental Tokyo,,NRT,Tokyo,JP,Mandarin Oriental,Luxury Hotel,,
The Ritz-Carlton Tokyo,,NRT,Tokyo,JP,Ritz-Carlton,Luxury Hotel,,
Rosewood Tokyo,,NRT,Tokyo,JP,Rosewood Hotel,Luxury Hotel,,
The Peninsula Tokyo,,NRT,Tokyo,JP,The Peninsula,Luxury Hotel,,
Shangri-La Manzhouli,,NZH,Manzhouli,CN,,Luxury Hotel,49.6,117.45
Berkeley,,OAK,San Francisco,US,,Elite residential,,
Berkeley,,OAK,San Francisco,US,,University,,
Stanford University,,OAK,San Francisco,US,,University,,
Kahului,,OGG,,US,,Adventure Tourism,,
Four Seasons HAWAII,,OGG,,US,Four Seasons,Luxury Hotel,,
Montage Kapalua Bay,,OGG,,US,Montage,Luxury Hotel,,
The Ritz-Carlton Maui Kapalua,,OGG,,US,Ritz-Carlton,Luxury Hotel,,
Grand Wailea A Waldorf Astoria Resort,,OGG,Kahului,US,,Luxury Hotel,,
Ho'olei at Grand Wailea,,OGG,Kahului,US,,Luxury Hotel,,
Andaz Maui at Wailea Resort,,OGG,Kahului,US,,Luxury Hotel,,
Fairmont Kea Lani,,OGG,Kahului,US,,Luxury Hotel,20.674,-156.4388
HOSHINOYA Okinawa,,OKA,,JP,HOSHINOYA,Luxury Hotel,,
IRAPH SUI,,OKA,,JP,Luxury Collection Hotels,Luxury Hotel,,
The Ritz-Carlton Okinawa,,OKA,,JP,Ritz-Carlton,Luxury Hotel,,
Kouri Island,,OKA,,JP,,Adventure tourism,,
Charter Yacht Voyage,,OLB,,IT,,Adventure Tourism,,
Porto Cervo,,OLB,,IT,Exclusive seaside resort in Sardinia known for its luxury yacht marinas,Luxury Hotel,,
Hotel Cala di Volpe,,OLB,,IT,Luxury Collection Hotels,Luxury Hotel,,
Romazzino,,OLB,,IT,,Luxury Hotel,,
7Pines Resort Sardinia,,OLB,Olbia,IT,,Luxury Hotel,,
JW Marriott Gold Coast Resort & Spa,,OOL,,AU,JW Marriott,Luxury Hotel,,
Six Senses PORTUGAL,,OPO,,PT,Six Senses Resorts,Luxury Hotel,,
Gold Coast,,ORD,Chicago,US,,Elite residential,,
